Platform,Policy type,Policy name,Date,Text
YouTube,Community Guidelines,Vulgar language policy,2021-12-02,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy

Some language may not be appropriate for viewers under 18. We may consider the following factors when deciding whether to age-restrict or remove content. Keep in mind that this isn't a complete list.


* Use of sexually explicit language or narratives
* Use of excessive profanity in your video
* Use of heavy profanity in your video’s title, thumbnail or associated metadata


### Examples


Here are some examples of content which may be age-restricted:


* A video focused on the use of profanities such as a compilation or clip taken out of context
* A video featuring road rage or sustained rant with heavy profanities
* A video with use of heavy profanities during a physical confrontation or to describe acts of violence


 


   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2022-05-30,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy

Some language may not be appropriate for viewers under 18. We may consider the following factors when deciding whether to age-restrict or remove content. Keep in mind that this isn't a complete list.


* Use of sexually explicit language or narratives.
* Use of excessive profanity in your video.
* Use of heavy profanity in your video’s title, thumbnail or associated metadata.


### Examples


Here are some examples of content which may be age-restricted:


* A video focused on the use of profanities such as a compilation or clip taken out of context.
* A video featuring road rage or sustained rant with heavy profanities.
* A video with use of heavy profanities during a physical confrontation or to describe acts of violence.


 


   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2021-09-30,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy

Some language may not be appropriate for viewers under 18. We may consider the following factors when deciding whether to age-restrict or remove content. Keep in mind that this isn't a complete list.


* Use of sexually explicit language or narratives
* Use of excessive profanity in your video
* Use of heavy profanity in your video’s title, thumbnail or associated metadata


### Examples


Here are some examples of content which may be age-restricted:


* A video focused on the use of profanities such as a compilation or clip taken out of context
* A video featuring road rage or sustained rant with heavy profanities
* A video with use of heavy profanities during a physical confrontation or to describe acts of violence


 


   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2023-03-16,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy


The safety of our creators, viewers, and partners is our highest priority. We look to each of you to help us protect this unique and vibrant community. It’s important you understand our Community Guidelines, and the role they play in our shared responsibility to keep YouTube safe. **T****ake the time to carefully read the policy below**. You can also check out [this page](/youtube/answer/9288567) for a full list of our guidelines.


Some language may not be appropriate for viewers under 18.


If you find content that violates this policy, report it. Instructions for reporting violations of our Community Guidelines [are available here](https://support.google.com/youtube/answer/2802027). If you've found a few videos or comments that you would like to report, you can [report the channel](https://support.google.com/youtube/answer/2802027#report_channel).



## What this policy means for you


**If you're posting content**


Explicit content that violates this policy could result in [age restriction](/youtube/answer/2802167), content removal, or a [strike](/youtube/answer/2802032). We may consider the following factors when deciding whether to age-restrict, remove content, or issue a strike.


* Use of sexually explicit language or narratives
* Use of excessive profanity in the content
* Use of heavy profanity or sexually suggestive terms in the content’s title, thumbnail, or associated metadata
* Use of excessive sexual sounds


**Note**: The above list isn’t complete.



## Age-restricted content



Here are some examples of content that may be age-restricted:
* A video focused on the use of profanities, like a compilation, song, or clip taken out of context
* A video that uses heavy profanities in the title
* A video that repeatedly uses vulgar or sexual language




This policy applies to videos, video descriptions, comments, live streams, audio, and any other YouTube product or feature. Remember these are just some examples, and don't post content if you think it might violate this policy.


We may allow vulgar language when the primary purpose is educational, documentary, scientific, or artistic, and it isn’t gratuitous. For example, the title of a song with a curse word or a song that contains large amounts of profanity. Remember that giving context in the content, title, and description will help us and your viewers determine the primary purpose of the video.


## What happens if content violates this policy


If your content violates this policy, we’ll remove the content and send you an email to let you know. If this is your first time violating our Community Guidelines, you’ll likely get a warning with no penalty to your channel. If it’s not, we may issue a strike against your channel. If you get 3 strikes within 90 days, your channel will be terminated. You can learn more about [our strikes system here](/youtube/answer/2802032).



We may terminate your channel or account for repeated violations of the Community Guidelines or Terms of Service. We may also terminate your channel or account after a single case of severe abuse, or when the channel is dedicated to a policy violation. You can learn more about [channel or account terminations here](/youtube/answer/2802168).



   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2023-05-20,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy


The safety of our creators, viewers, and partners is our highest priority. We look to each of you to help us protect this unique and vibrant community. It’s important you understand our Community Guidelines, and the role they play in our shared responsibility to keep YouTube safe. **T****ake the time to carefully read the policy below**. You can also check out [this page](/youtube/answer/9288567) for a full list of our guidelines.


Some language may not be appropriate for viewers under 18.


If you find content that violates this policy, report it. Instructions for reporting violations of our Community Guidelines [are available here](https://support.google.com/youtube/answer/2802027). If you've found a few videos or comments that you would like to report, you can [report the channel](https://support.google.com/youtube/answer/2802027#report_channel).



## What this policy means for you


**If you're posting content**


Explicit content that violates this policy could result in [age restriction](/youtube/answer/2802167), content removal, or a [strike](/youtube/answer/2802032). We may consider the following factors when deciding whether to age-restrict, remove content, or issue a strike.


* Use of sexually explicit language or narratives
* Use of excessive profanity in the content
* Use of heavy profanity or sexually suggestive terms in the content’s title, thumbnail, or associated metadata
* Use of excessive sexual sounds


**Note**: The above list isn’t complete.



## Age-restricted content



Here are some examples of content that may be age-restricted:
* A video focused on the use of profanities, like a compilation, song, or clip taken out of context
* A video that uses heavy profanities in the title
* A video that repeatedly uses vulgar or sexual language




This policy applies to videos, video descriptions, comments, live streams, audio, and any other YouTube product or feature. Remember these are just some examples, and don't post content if you think it might violate this policy.


We may allow vulgar language when the primary purpose is educational, documentary, scientific, or artistic, and it isn’t gratuitous. For example, the title of a song with a curse word or a song that contains large amounts of profanity. Remember that giving context in the content, title, and description will help us and your viewers determine the primary purpose of the video.


## What happens if content violates this policy


If your content violates this policy, we’ll remove the content and send you an email to let you know. If we can’t verify that a link you post is safe, we may remove the link.


If this is your first time violating our Community Guidelines, you’ll likely get a warning with no penalty to your channel. If it’s not, we may issue a strike against your channel. If you get 3 strikes within 90 days, your channel will be terminated. You can learn more about [our strikes system here](/youtube/answer/2802032).



We may terminate your channel or account for repeated violations of the Community Guidelines or Terms of Service. We may also terminate your channel or account after a single case of severe abuse, or when the channel is dedicated to a policy violation. You can learn more about [channel or account terminations here](/youtube/answer/2802168).



   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2023-09-24,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy


The safety of our creators, viewers, and partners is our highest priority. We look to each of you to help us protect this unique and vibrant community. It’s important you understand our Community Guidelines, and the role they play in our shared responsibility to keep YouTube safe. **T****ake the time to carefully read the policy below**. You can also check out [this page](/youtube/answer/9288567) for a full list of our guidelines.


Some language may not be appropriate for viewers under 18.


If you find content that violates this policy, report it. Instructions for reporting violations of our Community Guidelines [are available here](https://support.google.com/youtube/answer/2802027). If you've found a few videos or comments that you would like to report, you can [report the channel](https://support.google.com/youtube/answer/2802027#report_channel).



## What this policy means for you


**If you're posting content**


Explicit content that violates this policy could result in [age restriction](/youtube/answer/2802167), content removal, or a [strike](/youtube/answer/2802032). We may consider the following factors when deciding whether to age-restrict, remove content, or issue a strike.


* Use of sexually explicit language or narratives
* Use of excessive profanity in the content
* Use of heavy profanity or sexually suggestive terms in the content’s title, thumbnail, or associated metadata
* Use of excessive sexual sounds


**Note**: The above list isn’t complete.



## Age-restricted content



Here are some examples of content that may be age-restricted:
* A video focused on the use of profanities, like a compilation, song, or clip taken out of context
* A video that uses heavy profanities in the title
* A video that repeatedly uses vulgar or sexual language




This policy applies to videos, video descriptions, comments, live streams, audio, and any other YouTube product or feature. Remember these are just some examples, and don't post content if you think it might violate this policy.


We may allow vulgar language when the primary purpose is educational, documentary, scientific, or artistic, and it isn’t gratuitous. For example, the title of a song with a curse word or a song that contains large amounts of profanity. Remember that giving context in the content, title, and description will help us and your viewers determine the primary purpose of the video.


## What happens if content violates this policy


If your content violates this policy, we will remove the content and send you an email to let you know. If we can’t verify that a link you post is safe, we may remove the link.


If this is your first time violating our Community Guidelines, you'll likely get a warning with no penalty to your channel. You will have the chance to take a policy training to allow the warning to expire after 90 days. However, if the same policy is violated within that 90 day window, the warning will not expire and your channel will be given a strike. If you violate a different policy after completing the training, you will get another warning.


If you get 3 strikes within 90 days, your channel will be terminated. [Learn more about our strikes system](/youtube/answer/2802032).



We may terminate your channel or account for repeated violations of the Community Guidelines or Terms of Service. We may also terminate your channel or account after a single case of severe abuse, or when the channel is dedicated to a policy violation. We may prevent repeat offenders from taking policy trainings in the future. [Learn more about channel or account terminations](/youtube/answer/2802168).



   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2022-01-18,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy

Some language may not be appropriate for viewers under 18. We may consider the following factors when deciding whether to age-restrict or remove content. Keep in mind that this isn't a complete list.


* Use of sexually explicit language or narratives
* Use of excessive profanity in your video
* Use of heavy profanity in your video’s title, thumbnail or associated metadata


### Examples


Here are some examples of content which may be age-restricted:


* A video focused on the use of profanities such as a compilation or clip taken out of context
* A video featuring road rage or sustained rant with heavy profanities
* A video with use of heavy profanities during a physical confrontation or to describe acts of violence


 


   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2022-03-04,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy

Some language may not be appropriate for viewers under 18. We may consider the following factors when deciding whether to age-restrict or remove content. Keep in mind that this isn't a complete list.


* Use of sexually explicit language or narratives
* Use of excessive profanity in your video
* Use of heavy profanity in your video’s title, thumbnail or associated metadata


### Examples


Here are some examples of content which may be age-restricted:


* A video focused on the use of profanities such as a compilation or clip taken out of context
* A video featuring road rage or sustained rant with heavy profanities
* A video with use of heavy profanities during a physical confrontation or to describe acts of violence


 


   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2023-05-13,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy


The safety of our creators, viewers, and partners is our highest priority. We look to each of you to help us protect this unique and vibrant community. It’s important you understand our Community Guidelines, and the role they play in our shared responsibility to keep YouTube safe. **T****ake the time to carefully read the policy below**. You can also check out [this page](/youtube/answer/9288567) for a full list of our guidelines.


Some language may not be appropriate for viewers under 18.


If you find content that violates this policy, report it. Instructions for reporting violations of our Community Guidelines [are available here](https://support.google.com/youtube/answer/2802027). If you've found a few videos or comments that you would like to report, you can [report the channel](https://support.google.com/youtube/answer/2802027#report_channel).



## What this policy means for you


**If you're posting content**


Explicit content that violates this policy could result in [age restriction](/youtube/answer/2802167), content removal, or a [strike](/youtube/answer/2802032). We may consider the following factors when deciding whether to age-restrict, remove content, or issue a strike.


* Use of sexually explicit language or narratives
* Use of excessive profanity in the content
* Use of heavy profanity or sexually suggestive terms in the content’s title, thumbnail, or associated metadata
* Use of excessive sexual sounds


**Note**: The above list isn’t complete.



## Age-restricted content



Here are some examples of content that may be age-restricted:
* A video focused on the use of profanities, like a compilation, song, or clip taken out of context
* A video that uses heavy profanities in the title
* A video that repeatedly uses vulgar or sexual language




This policy applies to videos, video descriptions, comments, live streams, audio, and any other YouTube product or feature. Remember these are just some examples, and don't post content if you think it might violate this policy.


We may allow vulgar language when the primary purpose is educational, documentary, scientific, or artistic, and it isn’t gratuitous. For example, the title of a song with a curse word or a song that contains large amounts of profanity. Remember that giving context in the content, title, and description will help us and your viewers determine the primary purpose of the video.


## What happens if content violates this policy


If your content violates this policy, we’ll remove the content and send you an email to let you know. If we can’t verify that a link you post is safe, we may remove the link.


If this is your first time violating our Community Guidelines, you’ll likely get a warning with no penalty to your channel. If it’s not, we may issue a strike against your channel. If you get 3 strikes within 90 days, your channel will be terminated. You can learn more about [our strikes system here](/youtube/answer/2802032).



We may terminate your channel or account for repeated violations of the Community Guidelines or Terms of Service. We may also terminate your channel or account after a single case of severe abuse, or when the channel is dedicated to a policy violation. You can learn more about [channel or account terminations here](/youtube/answer/2802168).



   Was this helpful?"
YouTube,Community Guidelines,Vulgar language policy,2023-06-02,"* [YouTube policies](/youtube/topic/2803176?hl=en&ref_topic=6151248)
* [Vulgar language policy](/youtube/answer/10072685)
       # Vulgar language policy


The safety of our creators, viewers, and partners is our highest priority. We look to each of you to help us protect this unique and vibrant community. It’s important you understand our Community Guidelines, and the role they play in our shared responsibility to keep YouTube safe. **T****ake the time to carefully read the policy below**. You can also check out [this page](/youtube/answer/9288567) for a full list of our guidelines.


Some language may not be appropriate for viewers under 18.


If you find content that violates this policy, report it. Instructions for reporting violations of our Community Guidelines [are available here](https://support.google.com/youtube/answer/2802027). If you've found a few videos or comments that you would like to report, you can [report the channel](https://support.google.com/youtube/answer/2802027#report_channel).



## What this policy means for you


**If you're posting content**


Explicit content that violates this policy could result in [age restriction](/youtube/answer/2802167), content removal, or a [strike](/youtube/answer/2802032). We may consider the following factors when deciding whether to age-restrict, remove content, or issue a strike.


* Use of sexually explicit language or narratives
* Use of excessive profanity in the content
* Use of heavy profanity or sexually suggestive terms in the content’s title, thumbnail, or associated metadata
* Use of excessive sexual sounds


**Note**: The above list isn’t complete.



## Age-restricted content



Here are some examples of content that may be age-restricted:
* A video focused on the use of profanities, like a compilation, song, or clip taken out of context
* A video that uses heavy profanities in the title
* A video that repeatedly uses vulgar or sexual language




This policy applies to videos, video descriptions, comments, live streams, audio, and any other YouTube product or feature. Remember these are just some examples, and don't post content if you think it might violate this policy.


We may allow vulgar language when the primary purpose is educational, documentary, scientific, or artistic, and it isn’t gratuitous. For example, the title of a song with a curse word or a song that contains large amounts of profanity. Remember that giving context in the content, title, and description will help us and your viewers determine the primary purpose of the video.


## What happens if content violates this policy


If your content violates this policy, we’ll remove the content and send you an email to let you know. If we can’t verify that a link you post is safe, we may remove the link.


If this is your first time violating our Community Guidelines, you’ll likely get a warning with no penalty to your channel. If it’s not, we may issue a strike against your channel. If you get 3 strikes within 90 days, your channel will be terminated. You can learn more about [our strikes system here](/youtube/answer/2802032).



We may terminate your channel or account for repeated violations of the Community Guidelines or Terms of Service. We may also terminate your channel or account after a single case of severe abuse, or when the channel is dedicated to a policy violation. You can learn more about [channel or account terminations here](/youtube/answer/2802168).



   Was this helpful?"
